0.60387	0.10666	0.47913
0.56636	0.1738	0.32404
0.57752	0.28082	0.23633
0.58075	0.31893	0.2147
0.59077	0.32659	0.22001
0.61427	0.10014	0.43448
0.61509	0.12415	0.50866
0.61289	0.14109	0.47246
0.60228	0.17759	0.42568
0.62993	0.22717	0.42038
0.5934	0.1159	0.41977
0.61388	0.13865	0.43589
0.61134	0.21381	0.44971
0.62599	0.23322	0.54162
0.64883	0.37724	0.42501
0.58066	0.10474	0.40454
0.55434	0.16791	0.29014
0.58461	0.19952	0.2703
0.58442	0.30935	0.25836
0.61851	0.25295	0.2743
0.61438	0.0893	0.53652
0.61308	0.1393	0.49113
0.64253	0.34589	0.5362
0.65523	0.34957	0.53756
0.66472	0.35883	0.54403
0.61409	0.0953	0.50756
0.60903	0.23755	0.46533
0.6321	0.38229	0.5076
0.64054	0.21592	0.59435
0.68426	0.37027	0.56499
0.61406	0.11215	0.41311
0.59935	0.14198	0.33219
0.60965	0.17367	0.33765
0.61038	0.13581	0.34992
0.61529	0.22244	0.34718
0.61353	0.10499	0.6824
0.62544	0.26051	0.51638
0.62106	0.21052	0.74952
0.63327	0.29199	0.69296
0.63502	0.28723	0.68809
0.61562	0.10135	0.71245
0.6415	0.29082	0.62214
0.6424	0.34303	0.54136
0.65261	0.3341	0.54339
0.65826	0.35035	0.5799
0.57973	0.10831	0.36842
0.60065	0.12485	0.38181
0.60778	0.12914	0.41325
0.60011	0.15442	0.38098
0.62016	0.22478	0.38721
0.61581	0.10338	0.60105
0.64155	0.2901	0.61552
0.63972	0.25438	0.80093
0.67899	0.57644	0.55026
0.68193	0.34431	0.5473
0.6131	0.09579	0.42565
0.61391	0.12023	0.45809
0.61545	0.11316	0.61246
0.61235	0.11264	0.45282
0.65566	0.24823	0.46898
0.5909	0.11187	0.40182
0.58034	0.18346	0.29575
0.57392	0.25342	0.23518
0.56191	0.31364	0.20069
0.62478	0.37742	0.2131
0.5981	0.10753	0.49498
0.60475	0.11009	0.41827
0.63263	0.25021	0.44754
0.62164	0.35347	0.41335
0.71025	0.58446	0.43069
0.60212	0.10414	0.67245
0.60219	0.13977	0.48584
0.63475	0.30732	0.52071
0.65654	0.29379	0.79982
0.64397	0.2735	0.72085
0.5999	0.10728	0.38738
0.59353	0.14729	0.30381
0.55595	0.25914	0.26285
0.57604	0.29157	0.27102
0.59949	0.29111	0.24492
0.61456	0.09546	0.71081
0.59814	0.11745	0.5065
0.66237	0.37291	0.54192
0.68094	0.50397	0.48715
0.70569	0.49135	0.47769
0.61402	0.10781	0.61865
0.61072	0.14051	0.7829
0.64191	0.33075	0.53957
0.66652	0.37804	0.6107
0.6857	0.35037	0.54844
0.59742	0.10544	0.39043
0.59127	0.14141	0.40371
0.58627	0.18062	0.30634
0.59838	0.2237	0.3587
0.58489	0.2776	0.30002
0.60628	0.10785	0.73951
0.63058	0.26282	0.73706
0.61035	0.16315	0.62202
0.62764	0.2945	0.49994
0.66988	0.55957	0.55493
0.6144	0.08955	0.73529
0.62399	0.24605	0.59524
0.62278	0.18346	0.75196
0.64726	0.48197	0.61871
0.67385	0.40716	0.60538
0.61221	0.09499	0.51997
0.59477	0.14538	0.39812
0.6404	0.21833	0.4693
